G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,name
68,53,28.1,3.9,8.8,0.439,2.8,5.3,0.53,1.0,3.5,0.298,2.3,3.4,0.675,1.8,5.6,7.4,1.8,0.7,0.4,1.5,1.9,11.1,11.06,jalen-wilson
121,109,29.1,4.5,10.2,0.439,3.0,5.8,0.515,1.5,4.4,0.34,2.1,2.9,0.741,1.0,4.1,5.1,1.4,0.8,0.6,1.2,2.1,12.6,9.69,ron-harperjr
31,31,33.3,5.2,12.8,0.403,3.9,8.1,0.478,1.3,4.7,0.274,5.2,6.3,0.831,0.7,4.5,5.2,1.4,0.7,0.3,2.1,2.0,16.8,8.25,bryce-mcgowens
92,61,26.4,4.7,9.8,0.48,3.8,7.3,0.528,0.8,2.5,0.341,3.9,5.2,0.749,1.7,4.4,6.1,1.6,0.5,1.6,1.7,2.4,14.1,10.5,ej-liddell
90,89,31.6,5.2,12.6,0.414,3.6,8.0,0.454,1.6,4.6,0.343,5.6,7.3,0.763,0.8,2.3,3.1,4.3,1.6,0.2,3.2,2.7,17.5,7.07,scotty-pippenjr
90,90,28.3,6.6,11.0,0.596,6.6,11.0,0.596,0.0,0.0,0.0,4.0,6.5,0.623,3.4,6.2,9.6,0.5,0.6,1.2,2.0,2.5,17.2,10.22,kofi-cockburn
26,25,32.2,3.7,9.4,0.393,2.8,6.4,0.434,0.9,3.0,0.308,2.2,3.4,0.648,0.8,4.3,5.2,6.3,0.8,0.3,3.4,2.2,10.5,-3.34,taran-armstrong
95,72,27.5,3.7,8.1,0.46,3.0,6.1,0.492,0.7,2.0,0.36,2.0,3.3,0.596,2.1,4.9,7.0,2.0,0.6,0.8,1.5,2.2,10.1,7.99,isaiah-mobley
88,34,22.4,3.8,8.9,.429,2.5,4.9,.508,1.3,3.9,.329,1.6,2.2,.720,0.3,1.8,2.1,2.9,0.5,0.1,2.1,1.6,10.5,9.86,jahvon-quinerly
71,57,28.5,4.0,10.3,0.387,1.5,3.3,0.441,2.5,7.0,0.361,1.5,1.9,0.797,0.3,2.2,2.6,2.1,1.2,0.1,1.3,1.7,12.0,6.05,marcus-sasser
91,76,29.9,5.6,10.7,0.522,4.7,7.9,0.593,0.9,2.8,0.319,3.4,4.6,0.739,1.9,5.5,7.4,2.4,0.9,0.8,2.2,2.2,15.5,3.26,david-roddy
56,40,27.8,4.5,9.1,0.49,4.2,8.0,0.523,0.3,1.1,0.254,2.9,4.2,0.694,2.0,4.1,6.1,2.2,1.1,0.2,1.9,1.4,12.1,6.43,dereon-seabron
84,55,27.8,4.3,8.9,0.481,2.2,3.7,0.601,2.1,5.2,0.397,2.2,2.6,0.823,0.9,3.6,4.5,1.7,0.6,0.2,1.3,1.9,12.7,2.98,hyunjung-lee
53,33,27.8,4.9,11.2,0.434,3.6,7.5,0.487,1.2,3.7,0.328,2.2,3.2,0.704,1.5,5.4,6.9,1.3,0.8,0.6,1.7,2.1,13.2,8.77,justin-lewis
32,25,31.6,5.7,14.3,0.398,2.7,6.2,0.437,3.0,8.1,0.369,1.9,2.7,0.698,0.9,3.2,4.1,2.1,1.3,0.5,1.7,2.2,16.3,6.37,terquavion-smith
